Address,Quality,Size,Name
0x0000007100000190,U,000036,FUN_7100000190
0x0000007100000250,U,000136,FUN_7100000250
0x00000071000002e0,U,000004,71000002e0____nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000002f0,U,000204,FUN_71000002f0
0x00000071000003c0,U,000012,71000003c0__nndetailRoGetRoDataStart
0x00000071000003d0,U,000012,71000003d0__nndetailRoGetRoDataEnd
0x00000071000003e0,U,000004,71000003e0____nnDetailNintendoSdkRuntimeObjectFile
0x00000071000003f0,U,000092,_ZN16DisasterModeAreaC1EPKc
0x000000710000044c,U,000001,FUN_710000044c
0x0000007100000450,U,000076,_ZN16DisasterModeArea4initERKN2al12AreaInitInfoEPKNS0_14SceneObjHolderE
0x00000071000004d0,U,000092,_ZN17DisasterSpikeAreaC1EPKc
0x000000710000052c,U,000001,FUN_710000052c
0x0000007100000530,U,000052,FUN_7100000530
0x0000007100000570,U,000396,_ZN17DisasterSpikeArea10initSpikesERKN2al13ActorInitInfoEP21DisasterSpikeDirector
0x00000071000006fc,U,000001,FUN_71000006fc
0x0000007100000700,U,000168,_ZN17DisasterSpikeArea7triggerEb
0x00000071000007b0,U,000104,_ZN17DisasterSpikeArea22setSpikesKillOutOfViewEb
0x0000007100000820,U,000092,_ZN17DisasterSpikeArea17clearTriggerFlagsEv
0x0000007100000880,U,000008,FUN_7100000880
0x0000007100000890,U,000120,_ZN17DisasterSpikeArea21getInactiveSpikeCountEv
0x0000007100000910,U,000008,FUN_7100000910
0x0000007100000920,U,000124,_ZN16FireBallSafeAreaC1EPKc
0x0000007100000a00,U,000004,FUN_7100000a00
0x0000007100000a10,U,000056,_ZN16FireBallSafeArea28tryFollowCollisionConnectionEv
0x0000007100000a50,U,000008,FUN_7100000a50
0x0000007100000a60,U,000088,_ZN16FrameOutCtrlAreaC1EPKc
0x0000007100000b60,U,000088,_ZN7InkAreaC1EPKc
0x0000007100000c50,U,000084,FUN_7100000c50
0x0000007100000d40,U,000084,FUN_7100000d40
0x0000007100000de0,U,000080,FUN_7100000de0
0x0000007100000e30,U,000116,_ZN25PlayerCollisionYPlaneAreaC1EPKc
0x0000007100000ec0,U,000244,_ZN25PlayerCollisionYPlaneArea19getResultCheckArrowEPKN2al13IUseCollisionE
0x0000007100000fc0,U,000076,FUN_7100000fc0
0x00000071000013a0,U,000084,_ZN27TorpedoSpikeRestrictionAreaC1EPKc
0x0000007100001450,U,000008,FUN_7100001450
0x0000007100001460,U,000008,FUN_7100001460
0x0000007100001470,U,000084,FUN_7100001470
0x00000071000015b0,U,000016,FUN_71000015b0
0x00000071000015c0,U,000160,_ZN18BgmBeatRateTrigger6updateEv
0x0000007100001660,U,000104,_ZN16MicInputSePlayerC1EPN2al13AudioDirectorE
0x00000071000016d0,U,000052,FUN_71000016d0
0x0000007100001710,U,000008,7100001710__al::NerveExecutor::getNerveKeeper
0x00000071000017c0,O,000004,_ZNK2al5Nerve12executeOnEndEPNS_11NerveKeeperE
0x0000007100001820,U,000072,_ZN22PlayerBigBgmControllerC1EPN2al13AudioDirectorE
0x0000007100001870,U,000208,_ZN22PlayerBigBgmController6updateEv
0x0000007100001940,U,000016,FUN_7100001940
0x0000007100001950,U,000104,_ZN22PlayerBigBgmController9notifyEndEv
0x00000071000019c0,U,000028,FUN_71000019c0
0x00000071000019f0,U,000076,_ZN29PlayerInvincibleBgmControllerC1EPN2al13AudioDirectorE
0x0000007100001a3c,U,000001,FUN_7100001a3c
0x0000007100001a40,U,000116,_ZN29PlayerInvincibleBgmController6updateEv
0x0000007100001ac0,U,000096,_ZN29PlayerInvincibleBgmController5pauseEv
0x0000007100001b20,U,000020,FUN_7100001b20
0x0000007100001b34,U,000080,FUN_7100001b34
0x0000007100001b90,U,000032,_ZN29PlayerInvincibleBgmController11notifyStartEb
0x0000007100001bb0,U,000076,_ZN29PlayerInvincibleBgmController9notifyEndEb
0x0000007100001c00,U,000012,FUN_7100001c00
0x0000007100001c20,U,000188,_ZN9BombBoundC1EPKc
0x0000007100002010,U,000616,_ZNK9BombBound9canKickedEPKN2al9SensorMsgEPNS0_9HitSensorES5_
0x0000007100002280,U,000372,_ZNK9BombBound11canKickedSMEPKN2al9SensorMsgEPNS0_9HitSensorES5_
0x00000071000029c0,U,000316,FUN_71000029c0
0x0000007100002e30,U,000148,FUN_7100002e30
0x0000007100002ed0,U,000188,_ZN9BombBound6launchENS_4TypeERKN4sead7Vector3IfEEb
0x0000007100002f8c,U,000001,FUN_7100002f8c
0x0000007100002f90,U,000200,_ZN9BombBound6thrownENS_4TypeERKN4sead7Vector3IfEEb
0x0000007100003060,U,000052,FUN_7100003060
0x00000071000030a0,U,000472,_ZN9BombBound8exeBoundEv
0x0000007100003280,U,000692,_ZN9BombBound7exeRollEv
0x0000007100003540,U,000520,_ZN9BombBound9exeKickedEv
0x0000007100003750,U,000008,7100003750__al::LiveActor::getNerveKeeper
0x0000007100003760,U,000004,7100003760__al::LiveActor::init
0x0000007100003770,U,000004,7100003770__al::LiveActor::respawn
0x0000007100003780,U,000008,7100003780__al::LiveActor::isFarLodSwitchOkay
0x0000007100003790,U,000008,7100003790__al::LiveActor::canLinkYOffset
0x00000071000037a0,U,000004,71000037a0__al::LiveActor::attackSensor
0x00000071000037b0,U,000008,71000037b0__al::LiveActor::receiveMsg
0x00000071000037c0,U,000008,71000037c0__al::LiveActor::receiveMsgScreenPoint
0x00000071000037d0,U,000008,71000037d0__al::LiveActor::receiveMsgScreenPointSM
0x00000071000037e0,U,000008,71000037e0__al::LiveActor::getName
0x00000071000037f0,U,000008,71000037f0__al::LiveActor::getEffectKeeper
0x0000007100003800,U,000008,7100003800__al::LiveActor::getAudioKeeper
0x0000007100003810,U,000008,7100003810__al::LiveActor::getStageSwitchKeeper
0x0000007100003820,U,000008,7100003820__al::LiveActor::isInRouteDokan
0x0000007100003830,U,000008,7100003830__al::LiveActor::getLinkedActor
0x0000007100003840,U,000004,7100003840__al::LiveActor::calcAndSetBaseMtx
0x0000007100003ad0,U,000004,FUN_7100003ad0
0x0000007100003ae0,U,000300,_ZN11BossGorobonC1EPKc
0x0000007100004bec,U,000001,FUN_7100004bec
0x0000007100004fd0,U,000760,_ZN11BossGorobon11chasePlayerEv
0x0000007100005430,U,000220,_ZN11BossGorobon7exeLandEv
0x0000007100005510,U,000896,_ZN11BossGorobon14revivalGorobonEv
0x00000071000059a0,U,000908,_ZN11BossGorobon21createBossGorobonRockEv
0x00000071000062f0,U,000160,_ZN15BossGorobonRockC1EPKc
0x0000007100006390,U,000200,_ZN15BossGorobonRock4initERKN2al13ActorInitInfoE
0x0000007100006580,U,000328,_ZN15BossGorobonRock7exeShotEv
0x0000007100006800,U,000024,FUN_7100006800
0x0000007100006820,U,000760,_ZN18BossStateDemoStartC1EPN2al9LiveActorERKNS0_13ActorInitInfoEP17BossDemoStartInfo
0x0000007100006d10,U,000368,_ZN18BossStateDemoStart7endDemoEb
0x0000007100006ec0,U,000004,7100006ec0__al::NerveStateBase::init
0x0000007100006ed0,U,000012,7100006ed0__al::NerveStateBase::kill
0x0000007100006ee0,U,000004,7100006ee0__al::NerveStateBase::control
0x0000007100007270,U,000388,_ZN10BossWackunC1EPKc
0x0000007100007890,U,000220,_ZN10BossWackun12exeDemoStartEv
0x0000007100007a70,U,002236,_ZN10BossWackun19setRotateAxisAndPosERKN4sead7Vector3IfEEb
0x0000007100008a3c,U,000001,FUN_7100008a3c
0x0000007100008b70,U,000604,_ZN10BossWackun15exeDamageRotateEv
0x0000007100009690,U,000108,FUN_7100009690
0x0000007100009810,U,000360,_ZN14BossWackunBodyC1EP10BossWackunP14BossWackunHand
0x0000007100009d20,U,000072,FUN_7100009d20
0x0000007100009d70,U,000012,FUN_7100009d70
0x0000007100009d80,U,000108,_ZN14BossWackunBody9startDemoEv
0x0000007100009df0,U,000112,_ZN14BossWackunBody11startBattleEv
0x0000007100009e60,U,000280,_ZN14BossWackunBody9startMoveERKN4sead7Vector3IfEEiiii
0x000000710000a080,U,000072,_ZN14BossWackunBody9startLandEi
0x000000710000a0d0,U,000052,FUN_710000a0d0
